Region,metric,value_pct
Africa,Rural population (%),57.14495103163992
Americas,Rural population (%),18.709087862281162
Asia,Rural population (%),50.21464956738802
Europe,Rural population (%),25.29943094553046
Oceania,Rural population (%),33.02161772351748
Global,Rural population (%),44.77935345647916
Africa,Employment in agriculture (%),17.49185232475503
Americas,Employment in agriculture (%),4.265728889282298
Asia,Employment in agriculture (%),13.941607144062687
Europe,Employment in agriculture (%),2.6137443770175897
Oceania,Employment in agriculture (%),4.489018842472156
Global,Employment in agriculture (%),12.139370678008296
Africa,Agriculture share of GDP (%),15.281349837035371
Americas,Agriculture share of GDP (%),1.8050511246836765
Asia,Agriculture share of GDP (%),7.196785986211581
Europe,Agriculture share of GDP (%),1.7255987978396266
Oceania,Agriculture share of GDP (%),3.0448938192689305
Global,Agriculture share of GDP (%),4.074870343826517
