Year,mean_annual_tas_deg_celsius,yield_kg_ha
1961,15.681289256124138,2544.9727558853506
1962,15.483884895006602,2585.2319187344615
1963,15.608586039629214,2640.150856806259
1964,15.524512439610879,2676.1682018501438
1965,15.533096522427016,2782.263176493282
1966,15.86984577215243,2865.0989093063963
1967,15.636800535247835,2909.260786313941
1968,15.630193652453212,2936.665923451106
1969,15.777356357595924,2971.962693000938
1970,15.748590414273822,3083.6072734646123
1971,15.666143522780668,3122.9487825419747
1972,15.787087255466766,3115.5946839910016
1973,16.099028159661195,3195.1926076163886
1974,15.837203474145578,3216.9709937818766
1975,15.987734751028638,3319.2287448285742
1976,15.813118367930834,3373.429678371527
1977,16.211438366476767,3447.226509819656
1978,16.189479394782126,3573.1198790446497
1979,16.388189647032863,3596.933945674837
1980,16.401595940879552,3511.1098872069015
1981,16.474878998757966,3698.3059760660412
1982,16.516386905126506,3879.889451167377
1983,16.577148433534237,3835.287545771325
1984,16.401441409400597,4010.8054279859116
1985,16.56640439301333,3997.4589047318614
1986,16.66986038690898,4024.217059312914
1987,17.045945664564954,4144.032993455536
1988,17.083382776537743,4036.4488289238884
1989,16.97959727241374,4163.866116085551
1990,17.282246114991366,4282.31908969392
1991,17.071748351545537,4269.4736722639645
1992,17.13410233809655,4199.238218488838
1993,17.224571015862256,4186.348729386375
1994,17.625508104592168,4224.376788185339
1995,17.66496997261455,4271.579351384062
1996,17.397532984543556,4478.447919603333
1997,17.577690348439454,4528.860690191153
1998,18.223984652016316,4583.156837845315
1999,18.091947583022254,4673.576910225907
2000,17.99808429625736,4716.886015907635
2001,18.213271125386786,4753.496926951353
2002,18.426706907521375,4864.037234746138
2003,18.37521394538563,4833.730908013074
2004,18.489730857193255,4962.546437739912
2005,18.471709695097363,4864.228141764349
2006,18.696193335663878,5011.100361935772
2007,18.837411787857068,5190.634073930859
2008,18.59419544384183,5342.563036436973
2009,18.93900162488474,5347.572111225403
2010,18.984716588280037,5345.052708717402
2011,18.74681857317904,5510.1659089681725
2012,18.768191117789236,5481.821858978835
2013,18.903132293823653,5625.288066842435
2014,19.065617859882177,5655.792205082218
2015,19.298715455571593,5685.414340354302
2016,19.46508337120751,5723.458961783493
2017,19.389651191667323,5720.420875417775
2018,19.35527099027907,5793.0460659487035
2019,19.466579491288943,5898.592810277412
2020,19.48059624332328,5792.005403509861
2021,19.563469099441797,5793.1137139118155
2022,19.611678902237212,5821.630274469439
2023,19.921306483315565,5913.882527902631
