Year,yield_kg_ha,emissions_per_ha_CO2eq_t
1961,2544.9727558853506,1.0803645453426838
1962,2585.2319187344615,1.1176028492145151
1963,2640.150856806259,1.1332760093102474
1964,2676.1682018501438,1.164665388851696
1965,2782.263176493282,1.1917066266130272
1966,2865.0989093063963,1.2309693107975523
1967,2909.260786313941,1.263864789534663
1968,2936.665923451106,1.2857085997778737
1969,2971.962693000938,1.3054782814276824
1970,3083.6072734646123,1.3412481537551812
1971,3122.9487825419747,1.3816564729146712
1972,3115.5946839910016,1.3897446447997421
1973,3195.1926076163886,1.4369221562130965
1974,3216.9709937818766,1.4392548298635024
1975,3319.2287448285742,1.5139317551356417
1976,3373.429678371527,1.5227722757957074
1977,3447.226509819656,1.5613876719191502
1978,3573.1198790446497,1.600216003001509
1979,3596.933945674837,1.6259743510934244
1980,3511.1098872069015,1.659429724934521
1981,3698.3059760660412,1.6697483851689305
1982,3879.889451167377,1.6617828710866922
1983,3835.287545771325,1.68793525226638
1984,4010.8054279859116,1.7148937702452178
1985,3997.4589047318614,1.6913173555420349
1986,4024.217059312914,1.7052393831818031
1987,4144.032993455536,1.7185093981231276
1988,4036.4488289238884,1.7753190431023824
1989,4163.866116085551,1.8114876561973035
1990,4282.31908969392,1.8595422221005862
1991,4269.4736722639645,1.8452307943664135
1992,4199.238218488838,1.8463276637330885
1993,4186.348729386375,1.8233709154884548
1994,4224.376788185339,1.8502219347035467
1995,4271.579351384062,1.8961575718749097
1996,4478.447919603333,1.9426889559232208
1997,4528.860690191153,1.9340759566546986
1998,4583.156837845315,1.933629572171552
1999,4673.576910225907,1.9650178576257398
2000,4716.886015907635,1.9321628067957075
2001,4753.496926951353,1.9409944299589328
2002,4864.037234746138,1.9637602714355282
2003,4833.730908013074,1.9771434001472905
2004,4962.546437739912,2.019920995854069
2005,4864.228141764349,2.034832321820982
2006,5011.100361935772,2.0623068949274996
2007,5190.634073930859,2.0952921361075107
2008,5342.563036436973,2.112440519841029
2009,5347.572111225403,2.11900528902077
2010,5345.052708717402,2.1562301644484494
2011,5510.1659089681725,2.1819815964333333
2012,5481.821858978835,2.1742247353484587
2013,5625.288066842435,2.2044859382740354
2014,5655.792205082218,2.2143819693880697
2015,5685.414340354302,2.1996203239351835
2016,5723.458961783493,2.220233349559175
2017,5720.420875417775,2.244697614689204
2018,5793.0460659487035,2.2313916285840154
2019,5898.592810277412,2.231361950587513
2020,5792.005403509861,2.2967339139161145
2021,5793.1137139118155,2.2949037064949067
2022,5821.630274469439,2.2757401574219074
2023,5913.882527902631,2.304651808616922
