Year,yield_kg_ha,fertilizers_per_area_of_cropland_kg_ha
1961,2544.9727558853506,23.26844981082439
1962,2585.2319187344615,25.02361591568045
1963,2640.150856806259,27.420851898142637
1964,2676.1682018501438,29.389777084799086
1965,2782.263176493282,32.26345507895592
1966,2865.0989093063963,35.90275298467905
1967,2909.260786313941,38.52300128997296
1968,2936.665923451106,40.69675051267054
1969,2971.962693000938,42.798038087750115
1970,3083.6072734646123,46.24196613592709
1971,3122.9487825419747,49.07053738709733
1972,3115.5946839910016,52.08479699141491
1973,3195.1926076163886,56.296565693902636
1974,3216.9709937818766,53.457610331327906
1975,3319.2287448285742,57.71529551668562
1976,3373.429678371527,60.6751760242429
1977,3447.226509819656,65.26715608440762
1978,3573.1198790446497,70.03681301828453
1979,3596.933945674837,74.35321263950286
1980,3511.1098872069015,75.9104689926624
1981,3698.3059760660412,74.80514526530952
1982,3879.889451167377,74.17891914625375
1983,3835.287545771325,78.2969729996656
1984,4010.8054279859116,81.82571590846064
1985,3997.4589047318614,78.52491235994376
1986,4024.217059312914,80.28867873688222
1987,4144.032993455536,83.74512625112374
1988,4036.4488289238884,88.66138260113462
1989,4163.866116085551,88.80245608407552
1990,4282.31908969392,87.4464832483789
1991,4269.4736722639645,86.57987606761998
1992,4199.238218488838,80.74879454853445
1993,4186.348729386375,76.8464024719638
1994,4224.376788185339,78.69811255784047
1995,4271.579351384062,83.3678368654177
1996,4478.447919603333,86.20929338580437
1997,4528.860690191153,87.85680145541832
1998,4583.156837845315,88.03728655525805
1999,4673.576910225907,89.48349523335911
2000,4716.886015907635,86.3969037148161
2001,4753.496926951353,88.00775076014571
2002,4864.037234746138,90.83040014454977
2003,4833.730908013074,93.34388305989508
2004,4962.546437739912,98.12375558440047
2005,4864.228141764349,98.26076878898317
2006,5011.100361935772,101.13005246292487
2007,5190.634073930859,105.65850597117762
2008,5342.563036436973,99.33541630108773
2009,5347.572111225403,100.15183301660791
2010,5345.052708717402,109.96182555981716
2011,5510.1659089681725,113.53393805726769
2012,5481.821858978835,112.39417039790729
2013,5625.288066842435,114.32967869483065
2014,5655.792205082218,116.88899517913065
2015,5685.414340354302,113.97514199827889
2016,5723.458961783493,115.97601162391386
2017,5720.420875417775,118.4328063620098
2018,5793.0460659487035,117.08862702908593
2019,5898.592810277412,115.39414913457918
2020,5792.005403509861,123.17224391751606
2021,5793.1137139118155,121.38750109252807
2022,5821.630274469439,114.76613871364586
2023,5913.882527902631,116.2548162644998
