Year,land_type,value_ha,value_pct
1961,cropland,1069771593.1,29.885799697512777
1961,pastures,2509759836.3,70.11420030248723
1962,cropland,1072119597.8,29.885543702085354
1962,pastures,2515299150.5,70.11445629791464
1963,cropland,1080548724.0,30.02957950061728
1963,pastures,2517732510.6,69.97042049938273
1964,cropland,1095273180.1,30.098889313488154
1964,pastures,2543642424.7,69.90111068651184
1965,cropland,1099346195.4,30.119480607272774
1965,pastures,2550604511.7,69.88051939272722
1966,cropland,1106230927.9,29.70913172317054
1966,pastures,2617307471.7,70.29086827682947
1967,cropland,1109400231.9,29.721527902846027
1967,pastures,2623248491.7,70.27847209715398
1968,cropland,1122418461.5,29.765207930865245
1968,pastures,2648489049.4,70.23479206913476
1969,cropland,1131436292.9,28.838949765562543
1969,pastures,2791855997.9,71.16105023443745
1970,cropland,1130880018.7,28.905729983608502
1970,pastures,2781423940.9,71.09427001639149
1971,cropland,1128398013.3,29.02294121578737
1971,pastures,2759553951.7,70.97705878421262
1972,cropland,1135042758.9,29.078304025307506
1972,pastures,2768358065.0,70.92169597469248
1973,cropland,1138763336.5,28.7995695610473
1973,pastures,2815335123.5,71.2004304389527
1974,cropland,1141266326.1,28.770831431453647
1974,pastures,2825481485.2,71.22916856854636
1975,cropland,1143164127.2,28.735921756673655
1975,pastures,2835006946.9,71.26407824332634
1976,cropland,1148972614.1,29.19212656930027
1976,pastures,2786926373.5,70.80787343069973
1977,cropland,1154186327.4,28.982420827751454
1977,pastures,2828180550.3,71.01757917224855
1978,cropland,1165954353.6,29.219276488424107
1978,pastures,2824405757.0,70.7807235115759
1979,cropland,1164992983.7,29.485163006963667
1979,pastures,2786122984.1,70.51483699303634
1980,cropland,1179782236.2,29.30447953414255
1980,pastures,2846162789.8,70.69552046585746
1981,cropland,1183805452.7,29.652119924622312
1981,pastures,2808507595.1,70.34788007537769
1982,cropland,1188826266.7,29.46177074361068
1982,pastures,2846322458.9,70.53822925638931
1983,cropland,1191299483.2,29.57168352861499
1983,pastures,2837214761.0,70.42831647138502
1984,cropland,1216578394.3,29.83864286702839
1984,pastures,2860612380.5,70.1613571329716
1985,cropland,1229082403.6,29.935118586019883
1985,pastures,2876738657.6,70.06488141398012
1986,cropland,1231339678.0,30.000678229569665
1986,pastures,2873033125.1,69.99932177043033
1987,cropland,1238370937.7,30.00174597954756
1987,pastures,2889291960.8,69.99825402045245
1988,cropland,1238593310.9,29.893198255146114
1988,pastures,2904801786.3,70.10680174485388
1989,cropland,1240611671.8,29.860127464303904
1989,pastures,2914131717.3,70.13987253569609
1990,cropland,1244171089.8,29.88417296197148
1990,pastures,2919140009.3,70.11582703802851
1991,cropland,1245485981.6,30.210616154041386
1991,pastures,2877190547.9,69.78938384595861
1992,cropland,1477249360.0,31.237539810992466
1992,pastures,3251834200.8,68.76246018900754
1993,cropland,1479130786.6,31.374679929759658
1993,pastures,3235278380.0,68.62532007024033
1994,cropland,1469176991.2,31.27761478568646
1994,pastures,3228038577.4,68.72238521431353
1995,cropland,1471390138.2,31.314195874159793
1995,pastures,3227405718.2,68.6858041258402
1996,cropland,1481587744.0,30.93009886584096
1996,pastures,3308528674.4,69.06990113415905
1997,cropland,1478740405.9,30.910813870421112
1997,pastures,3305153062.9,69.08918612957888
1998,cropland,1487424812.3,30.597114087738262
1998,pastures,3373899063.0,69.40288591226174
1999,cropland,1487024640.7,30.59599890330112
1999,pastures,3373168502.2,69.40400109669889
2000,cropland,1483736505.9,30.762390564863317
2000,pastures,3339479371.2,69.23760943513668
2001,cropland,1482395246.4,30.762247297836232
2001,pastures,3336483010.6,69.23775270216377
2002,cropland,1483276189.4,30.829801381501504
2002,pastures,3327900409.0,69.1701986184985
2003,cropland,1496035929.9,31.036150827822322
2003,pastures,3324265202.8,68.96384917217767
2004,cropland,1501543857.0,31.353293385528602
2004,pastures,3287566615.5,68.6467066144714
2005,cropland,1507512503.9,31.42718868322909
2005,pastures,3289329234.3,68.5728113167709
2006,cropland,1507298539.5,31.424766131448617
2006,pastures,3289232111.5,68.57523386855138
2007,cropland,1509218308.4,31.518029943340853
2007,pastures,3279210128.0,68.48197005665916
2008,cropland,1509473458.1,31.649707069983553
2008,pastures,3259839113.3,68.35029293001647
2009,cropland,1518135633.9,31.62126639233515
2009,pastures,3282860047.5,68.37873360766486
2010,cropland,1520992965.5,31.66204677801106
2010,pastures,3282843552.6,68.33795322198893
2011,cropland,1531856672.7,31.73485601452355
2011,pastures,3295191138.7,68.26514398547646
2012,cropland,1540272125.3,31.89460345744866
2012,pastures,3288984107.2,68.10539654255133
2013,cropland,1545401581.9,32.04740482796829
2013,pastures,3276834696.5,67.95259517203172
2014,cropland,1549448874.4,32.12208817120975
2014,pastures,3274175499.4,67.87791182879025
2015,cropland,1556159460.0,32.395113438655265
2015,pastures,3247526327.2,67.60488656134473
2016,cropland,1557888591.2,32.459962905818315
2016,pastures,3241527217.5,67.5400370941817
2017,cropland,1561523381.4,32.33206661722712
2017,pastures,3268119585.4,67.66793338277289
2018,cropland,1565610181.5,32.49433595128326
2018,pastures,3252491606.6,67.50566404871672
2019,cropland,1564836495.2,32.46235226456667
2019,pastures,3255629016.5,67.53764773543334
2020,cropland,1569890489.2,32.5830274171066
2020,pastures,3248232974.6,67.4169725828934
2021,cropland,1571912719.8999999,32.577248487491886
2021,pastures,3253272932.3,67.42275151250811
2022,cropland,1571495253.0,32.59340872897332
2022,pastures,3250017176.3,67.40659127102667
2023,cropland,1571516953.3,32.640491028670574
2023,pastures,3243107164.7,67.35950897132942
