Year,cropland_share_pct,pastures_share_pct
1961,29.885799697512777,70.11420030248723
1962,29.885543702085354,70.11445629791464
1963,30.02957950061728,69.97042049938273
1964,30.098889313488154,69.90111068651184
1965,30.119480607272774,69.88051939272722
1966,29.70913172317054,70.29086827682947
1967,29.721527902846027,70.27847209715398
1968,29.765207930865245,70.23479206913476
1969,28.838949765562543,71.16105023443745
1970,28.905729983608502,71.09427001639149
1971,29.02294121578737,70.97705878421262
1972,29.078304025307506,70.92169597469248
1973,28.7995695610473,71.2004304389527
1974,28.770831431453647,71.22916856854636
1975,28.735921756673655,71.26407824332634
1976,29.19212656930027,70.80787343069973
1977,28.982420827751454,71.01757917224855
1978,29.219276488424107,70.7807235115759
1979,29.485163006963667,70.51483699303634
1980,29.30447953414255,70.69552046585746
1981,29.652119924622312,70.34788007537769
1982,29.46177074361068,70.53822925638931
1983,29.57168352861499,70.42831647138502
1984,29.83864286702839,70.1613571329716
1985,29.935118586019883,70.06488141398012
1986,30.000678229569665,69.99932177043033
1987,30.00174597954756,69.99825402045245
1988,29.893198255146114,70.10680174485388
1989,29.860127464303904,70.13987253569609
1990,29.88417296197148,70.11582703802851
1991,30.210616154041386,69.78938384595861
1992,31.237539810992466,68.76246018900754
1993,31.374679929759658,68.62532007024033
1994,31.27761478568646,68.72238521431353
1995,31.314195874159793,68.6858041258402
1996,30.93009886584096,69.06990113415905
1997,30.910813870421112,69.08918612957888
1998,30.597114087738262,69.40288591226174
1999,30.59599890330112,69.40400109669889
2000,30.762390564863317,69.23760943513668
2001,30.762247297836232,69.23775270216377
2002,30.829801381501504,69.1701986184985
2003,31.036150827822322,68.96384917217767
2004,31.353293385528602,68.6467066144714
2005,31.42718868322909,68.5728113167709
2006,31.424766131448617,68.57523386855138
2007,31.518029943340853,68.48197005665916
2008,31.649707069983553,68.35029293001647
2009,31.62126639233515,68.37873360766486
2010,31.66204677801106,68.33795322198893
2011,31.73485601452355,68.26514398547646
2012,31.89460345744866,68.10539654255133
2013,32.04740482796829,67.95259517203172
2014,32.12208817120975,67.87791182879025
2015,32.395113438655265,67.60488656134473
2016,32.459962905818315,67.5400370941817
2017,32.33206661722712,67.66793338277289
2018,32.49433595128326,67.50566404871672
2019,32.46235226456667,67.53764773543334
2020,32.5830274171066,67.4169725828934
2021,32.577248487491886,67.42275151250811
2022,32.59340872897332,67.40659127102667
2023,32.640491028670574,67.35950897132942
